year,homicide_type,day
2013,Stabbing,Thursday
2013,Other,Monday
2013,Stabbing,Tuesday
2013,Other,Thursday
2013,Shooting,Sunday
2013,Other,Friday
2013,Shooting,Wednesday
2013,Other,Monday
2013,Shooting,Sunday
2013,Stabbing,Thursday
2013,Other,Thursday
2013,Other,Tuesday
2013,Other,Saturday
2013,Other,Sunday
2013,Stabbing,Monday
2013,Stabbing,Monday
2013,Stabbing,Monday
2013,Shooting,Sunday
2013,Shooting,Monday
2013,Shooting,Monday
2013,Shooting,Friday
2013,Shooting,Friday
2013,Shooting,Tuesday
2013,Stabbing,Thursday
2013,Stabbing,Saturday
2013,Shooting,Tuesday
2013,Stabbing,Friday
2013,Shooting,Monday
2013,Stabbing,Sunday
2013,Stabbing,Sunday
2013,Other,Sunday
2013,Other,Friday
2013,Other,Saturday
2013,Shooting,Sunday
2013,Shooting,Sunday
2013,Stabbing,Monday
2013,Other,Thursday
2013,Other,Friday
2014,Other,Friday
2014,Other,Tuesday
2014,Shooting,Wednesday
2014,Other,Wednesday
2014,Other,Thursday
2014,Stabbing,Sunday
2014,Other,Monday
2014,Shooting,Tuesday
2014,Shooting,Sunday
2014,Stabbing,Wednesday
2014,Shooting,Saturday
2014,Stabbing,Sunday
2014,Other,Wednesday
2014,Stabbing,Saturday
2014,Stabbing,Saturday
2014,Shooting,Wednesday
2014,Shooting,Wednesday
2014,Shooting,Tuesday
2014,Shooting,Friday
2014,Shooting,Saturday
2014,Shooting,Friday
2014,Shooting,Saturday
2014,Other,Tuesday
2014,Shooting,Sunday
2014,Shooting,Tuesday
2014,Other,Tuesday
2014,Stabbing,Saturday
2014,Shooting,Monday
2014,Shooting,Tuesday
2014,Other,Saturday
2014,Other,Friday
2014,Stabbing,Monday
2014,Shooting,Monday
2014,Shooting,Thursday
2014,Other,Thursday
2014,Shooting,Sunday
2014,Other,Sunday
2014,Shooting,Wednesday
2014,Stabbing,Tuesday
2014,Stabbing,Saturday
2014,Shooting,Monday
2014,Stabbing,Tuesday
2014,Shooting,Sunday
2014,Shooting,Monday
2014,Shooting,Monday
2014,Shooting,Monday
2014,Other,Monday
2014,Other,Wednesday
2014,Shooting,Thursday
2014,Shooting,Thursday
2014,Shooting,Sunday
2014,Stabbing,Saturday
2014,Stabbing,Saturday
2014,Stabbing,Saturday
2014,Stabbing,Monday
2014,Stabbing,Thursday
2014,Stabbing,Tuesday
2014,Other,Monday
2015,Stabbing,Saturday
2015,Other,Friday
2015,Stabbing,Saturday
2015,Shooting,Tuesday
2015,Shooting,Saturday
2015,Other,Wednesday
2015,Shooting,Saturday
2015,Shooting,Saturday
2015,Shooting,Tuesday
2015,Other,Wednesday
2015,Stabbing,Saturday
2015,Shooting,Monday
2015,Other,Thursday
2015,Other,Tuesday
2015,Stabbing,Thursday
2015,Stabbing,Friday
2015,Other,Sunday
2015,Shooting,Tuesday
2015,Shooting,Wednesday
2015,Stabbing,Monday
2015,Stabbing,Saturday
2015,Shooting,Monday
2015,Stabbing,Wednesday
2015,Other,Friday
2015,Shooting,Sunday
2015,Shooting,Sunday
2015,Shooting,Thursday
2015,Other,Friday
2015,Stabbing,Sunday
2015,Stabbing,Monday
2015,Shooting,Tuesday
2015,Shooting,Tuesday
2015,Stabbing,Friday
2015,Shooting,Sunday
2015,Shooting,Wednesday
2015,Shooting,Wednesday
2015,Stabbing,Sunday
2015,Stabbing,Saturday
2015,Stabbing,Tuesday
2015,Shooting,Thursday
2015,Other,Thursday
2015,Shooting,Saturday
2015,Shooting,Saturday
2015,Shooting,Wednesday
2015,Other,Tuesday
2015,Other,Tuesday
2015,Stabbing,Friday
2015,Stabbing,Friday
2015,Shooting,Tuesday
2015,Other,Saturday
2015,Shooting,Monday
2015,Stabbing,Friday
2015,Shooting,Friday
2015,Shooting,Friday
2015,Other,Monday
2015,Shooting,Tuesday
2015,Stabbing,Tuesday
2015,Other,Sunday
2015,Other,Wednesday
2016,Shooting,Monday
2016,Other,Sunday
2016,Shooting,Tuesday
2016,Shooting,Wednesday
2016,Shooting,Wednesday
2016,Shooting,Sunday
2016,Shooting,Friday
2016,Other,Saturday
2016,Shooting,Sunday
2016,Shooting,Sunday
2016,Stabbing,Wednesday
2016,Other,Friday
2016,Other,Friday
2016,Other,Friday
2016,Other,Friday
2016,Other,Sunday
2016,Stabbing,Tuesday
2016,Other,Monday
2016,Stabbing,Saturday
2016,Shooting,Sunday
2016,Shooting,Monday
2016,Other,Friday
2016,Shooting,Sunday
2016,Other,Tuesday
2016,Shooting,Wednesday
2016,Shooting,Saturday
2016,Other,Saturday
2016,Shooting,Wednesday
2016,Shooting,Thursday
2016,Shooting,Sunday
2016,Other,Sunday
2016,Other,Tuesday
2016,Other,Friday
2016,Shooting,Friday
2016,Shooting,Friday
